"doc_id","date_year","batch_number","date_full","box_number","folder01","folder02","folder03","folder04"
"98","2015","5265","11/02/2015","197550028","2015 ACA BATCHES","5265 - 11/02/2015","-","-"
"99","2015","5264","11/02/2015","197550028","2015 ACA BATCHES","5264 - 11/02/2015","-","-"
"100","2015","5263","10/30/2015","197550028","2015 ACA BATCHES","5263 - 10/30/2015","-","-"
"101","2015","5262","10/30/2015","197550028","2015 ACA BATCHES","5262 - 10/30/2015","-","-"
"102","2015","5261","10/29/2015","197550027","2015 ACA BATCHES","5261 - 10/29/2015","-","-"
"103","2015","5260","10/29/2015","197550027","2015 ACA BATCHES","5260 - 10/29/2015","-","-"
"104","2015","5259","10/29/2015","197550027","2015 ACA BATCHES","5259 - 10/29/2015","-","-"
"105","2015","5258","10/29/2015","197550027","2015 ACA BATCHES","5258 - 10/29/2015","-","-"
"106","2015","5257","10/28/2015","197550027","2015 ACA BATCHES","5257 - 10/28/2015","-","-"
"107","2015","5256","10/27/2015","197550027","2015 ACA BATCHES","5256 - 10/27/2015","-","-"
"108","2015","5255","10/27/2015","197550027","2015 ACA BATCHES","5255 - 10/27/2015","-","-"
"109","2015","5254","10/27/2015","197550027","2015 ACA BATCHES","5254 - 10/27/2015","-","-"
"110","2015","5253","10/27/2015","197550027","2015 ACA BATCHES","5253 - 10/27/2015","-","-"
"111","2015","5252","10/26/2015","197550027","2015 ACA BATCHES","5252 - 10/26/2015","-","-"
"112","2015","5251","10/23/2015","197550027","2015 ACA BATCHES","5251 - 10/23/2015","-","-"
"113","2015","5250","10/23/2015","197550027","2015 ACA BATCHES","5250 - 10/23/2015","-","-"
"114","2015","5249","10/22/2015","197550027","2015 ACA BATCHES","5249 - 10/22/2015","-","-"
"115","2015","5248","10/22/2015","197550027","2015 ACA BATCHES","5248 - 10/22/2015","-","-"
"116","2015","5247","10/21/2015","197550027","2015 ACA BATCHES","5247 - 10/21/2015","-","-"
"117","2015","5246","10/21/2015","197550027","2015 ACA BATCHES","5246 - 10/21/2015","-","-"
"118","2015","5245","10/20/2015","197550027","2015 ACA BATCHES","5245 - 10/20/2015","-","-"
"119","2015","5244","10/20/2015","197550027","2015 ACA BATCHES","5244 - 10/20/2015","-","-"
"120","2015","5243","10/20/2015","197550027","2015 ACA BATCHES","5243 - 10/20/2015","-","-"
"121","2015","5242","10/19/2015","197550027","2015 ACA BATCHES","5242 - 10/19/2015","-","-"
"122","2015","5241","10/19/2015","197550027","2015 ACA BATCHES","5241 - 10/19/2015","-","-"
"123","2015","5240","10/16/2015","197550027","2015 ACA BATCHES","5240 - 10/16/2015","-","-"
"124","2015","5239","10/14/2015","197550027","2015 ACA BATCHES","5239 - 10/14/2015","-","-"
"125","2015","5238","10/13/2015","197550027","2015 ACA BATCHES","5238 - 10/13/2015","-","-"
"126","2015","5237","10/13/2015","197550027","2015 ACA BATCHES","5237 - 10/13/2015","-","-"
"127","2015","5236","10/09/2015","197550027","2015 ACA BATCHES","5236 - 10/09/2015","-","-"
"128","2015","5235","10/08/2015","197550027","2015 ACA BATCHES","5235 - 10/08/2015","-","-"
"129","2015","5234","10/08/2015","197550027","2015 ACA BATCHES","5234 - 10/08/2015","-","-"
"130","2015","5233","10/08/2015","197550027","2015 ACA BATCHES","5233 - 10/08/2015","-","-"
"131","2015","5232","10/07/2015","197550027","2015 ACA BATCHES","5232 - 10/07/2015","-","-"
"132","2015","5231","10/06/2015","197550027","2015 ACA BATCHES","5231 - 10/06/2015","-","-"
"133","2015","5230","10/06/2015","197550027","2015 ACA BATCHES","5230 - 10/06/2015","-","-"
"134","2015","5229","10/06/2015","197550027","2015 ACA BATCHES","5229 - 10/06/2015","-","-"
"135","2015","5228","10/06/2015","197550027","2015 ACA BATCHES","5228 - 10/06/2015","-","-"
"136","2015","5227","10/05/2015","197550027","2015 ACA BATCHES","5227 - 10/05/2015","-","-"
"137","2015","5226","10/05/2015","197550027","2015 ACA BATCHES","5226 - 10/05/2015","-","-"
"138","2015","5225","10/05/2015","197550027","2015 ACA BATCHES","5225 - 10/05/2015","-","-"
"139","2015","5224","10/02/2015","197550027","2015 ACA BATCHES","5224 - 10/02/2015","-","-"
"140","2015","5223","10/01/2015","197550027","2015 ACA BATCHES","5223 - 10/01/2015","-","-"
"141","2015","5222","10/01/2015","197550027","2015 ACA BATCHES","5222 - 10/01/2015","-","-"
"142","2015","5221","10/01/2015","197550026","2015 ACA BATCHES","5221 - 10/01/2015","-","-"
"143","2015","5220","09/29/2015","197550026","2015 ACA BATCHES","5220 - 09/29/2015","-","-"
"144","2015","5219","09/29/2015","197550026","2015 ACA BATCHES","5219 - 09/29/2015","-","-"
"145","2015","5218","09/29/2015","197550026","2015 ACA BATCHES","5218 - 09/29/2015","-","-"
"146","2015","5217","09/28/2015","197550026","2015 ACA BATCHES","5217 - 09/28/2015","-","-"
"147","2015","5216","09/28/2015","197550026","2015 ACA BATCHES","5216 - 09/28/2015","-","-"
"148","2015","5215","09/25/2015","197550026","2015 ACA BATCHES","5215 - 09/25/2015","-","-"
"149","2015","5214","09/25/2015","197550026","2015 ACA BATCHES","5214 - 09/25/2015","-","-"
"150","2015","5213","09/24/2015","197550026","2015 ACA BATCHES","5213 - 09/24/2015","-","-"
"151","2015","5212","09/24/2015","197550026","2015 ACA BATCHES","5212 - 09/24/2015","-","-"
"152","2015","5194","09/10/2015","197550026","2015 ACA BATCHES","5194 - 09/10/2015","-","-"
"153","2015","5211","09/24/2015","197550026","2015 ACA BATCHES","5211 - 09/24/2015","-","-"
"154","2015","5210","09/23/2015","197550026","2015 ACA BATCHES","5210 - 09/23/2015","-","-"
"155","2015","5209","09/22/2015","197550026","2015 ACA BATCHES","5209 - 09/22/2015","-","-"
"156","2015","5208","09/22/2015","197550026","2015 ACA BATCHES","5208 - 09/22/2015","-","-"
"157","2015","5207","09/22/2015","197550026","2015 ACA BATCHES","5207 - 09/22/2015","-","-"
"158","2015","5206","09/22/2015","197550026","2015 ACA BATCHES","5206 - 09/22/2015","-","-"
"159","2015","5205","09/22/2015","197550026","2015 ACA BATCHES","5205 - 09/22/2015","-","-"
"160","2015","5204","09/21/2015","197550026","2015 ACA BATCHES","5204 - 09/21/2015","-","-"
"161","2015","5203","09/18/2015","197550026","2015 ACA BATCHES","5203 - 09/18/2015","-","-"
"162","2015","5202","09/17/2015","197550026","2015 ACA BATCHES","5202 - 09/17/2015","-","-"
"163","2015","5201","09/16/2015","197550026","2015 ACA BATCHES","5201 - 09/16/2015","-","-"
"164","2015","5200","09/15/2015","197550026","2015 ACA BATCHES","5200 - 09/15/2015","-","-"
"165","2015","5199","09/14/2015","197550026","2015 ACA BATCHES","5199 - 09/14/2015","-","-"
"166","2015","5198","09/14/2015","197550026","2015 ACA BATCHES","5198 - 09/14/2015","-","-"
"167","2015","5197","09/11/2015","197550026","2015 ACA BATCHES","5197 - 09/11/2015","-","-"
"168","2015","5196","09/11/2015","197550026","2015 ACA BATCHES","5196 - 09/11/2015","-","-"
"169","2015","5195","09/11/2015","197550026","2015 ACA BATCHES","5195 - 09/11/2015","-","-"
"170","2015","5193","09/09/2015","197550026","2015 ACA BATCHES","5193 - 09/09/2015","-","-"
"171","2015","5192","09/09/2015","197550026","2015 ACA BATCHES","5192 - 09/09/2015","-","-"
"172","2015","5191","09/09/2015","197550026","2015 ACA BATCHES","5191 - 09/09/2015","-","-"
"173","2015","5190","09/08/2015","197550026","2015 ACA BATCHES","5190 - 09/08/2015","-","-"
"174","2015","5189","09/08/2015","197550026","2015 ACA BATCHES","5189 - 09/08/2015","-","-"
"175","2015","5188","09/04/2015","197550026","2015 ACA BATCHES","5188 - 09/04/2015","-","-"
"176","2015","5187","09/04/2015","197550026","2015 ACA BATCHES","5187 - 09/04/2015","-","-"
"177","2015","5186","09/03/2015","197550026","2015 ACA BATCHES","5186 - 09/03/2015","-","-"
"178","2015","5185","09/03/2015","197550026","2015 ACA BATCHES","5185 - 09/03/2015","-","-"
"179","2015","5184","09/03/2015","197550026","2015 ACA BATCHES","5184 - 09/03/2015","-","-"
"180","2015","5183","09/02/2015","197550026","2015 ACA BATCHES","5183 - 09/02/2015","-","-"
"181","2015","5182","09/01/2015","197550026","2015 ACA BATCHES","5182 - 09/01/2015","-","-"
"182","2015","5181","09/01/2015","197550026","2015 ACA BATCHES","5181 - 09/01/2015","-","-"
"183","2015","5180","09/01/2015","197550026","2015 ACA BATCHES","5180 - 09/01/2015","-","-"
"184","2015","5179","08/31/2015","197550025","2015 ACA BATCHES","5179 - 08/31/2015","-","-"
"185","2015","5178","08/28/2015","197550025","2015 ACA BATCHES","5178 - 08/28/2015","-","-"
"186","2015","5177","08/28/2015","197550025","2015 ACA BATCHES","5177 - 08/28/2015","-","-"
"187","2015","5176","08/27/2015","197550025","2015 ACA BATCHES","5176 - 08/27/2015","-","-"
"188","2015","5175","08/26/2015","197550025","2015 ACA BATCHES","5175 - 08/26/2015","-","-"
"189","2015","5174","08/26/2015","197550025","2015 ACA BATCHES","5174 - 08/26/2015","-","-"
"190","2015","5173","08/25/2015","197550025","2015 ACA BATCHES","5173 - 08/25/2015","-","-"
"191","2015","5172","08/25/2015","197550025","2015 ACA BATCHES","5172 - 08/25/2015","-","-"
"192","2015","5171","08/25/2015","197550025","2015 ACA BATCHES","5171 - 08/25/2015","-","-"
"193","2015","5170","08/25/2015","197550025","2015 ACA BATCHES","5170 - 08/25/2015","-","-"
"194","2015","5169","08/24/2015","197550025","2015 ACA BATCHES","5169 - 08/24/2015","-","-"
"195","2015","5168","08/24/2015","197550025","2015 ACA BATCHES","5168 - 08/24/2015","-","-"
"196","2015","5167","08/21/2015","197550025","2015 ACA BATCHES","5167 - 08/21/2015","-","-"
"197","2015","5166","08/21/2015","197550025","2015 ACA BATCHES","5166 - 08/21/2015","-","-"
"198","2015","5165","08/21/2015","197550025","2015 ACA BATCHES","5165 - 08/21/2015","-","-"
"199","2015","5164","08/20/2015","197550025","2015 ACA BATCHES","5164 - 08/20/2015","-","-"
"200","2015","5163","08/20/2015","197550025","2015 ACA BATCHES","5163 - 08/20/2015","-","-"
